Time,LS_Volt,LS_Curr,LS_Power,HS_Volt,Temp_body,Temp_anod,Temp_amb
0,0,0,0,0,0,0,0
1,4036,79,3,6699,0,0,0
2,4297,1000,42,6604,0,0,0
3,4309,1000,43,6608,0,0,0
4,4315,1000,43,6600,0,0,0
5,4320,1015,43,6608,0,0,0
6,4320,992,42,6608,0,0,0
7,4326,1000,43,6604,0,0,0
8,4326,992,42,6604,0,0,0
9,4328,992,42,6608,0,0,0
10,4328,1000,43,6611,0,0,0
11,4331,1007,43,6608,0,0,0
12,4329,992,42,6600,0,0,0
13,4331,992,42,6611,0,0,0
14,4332,1000,43,6611,0,0,0
15,4332,1007,43,6608,0,0,0
16,4334,1007,43,6608,0,0,0
17,4334,1007,43,6608,0,0,0
18,4332,992,42,6608,0,0,0
19,4334,1000,43,6608,0,0,0
20,4334,1000,43,6608,0,0,0
21,4335,1007,43,6611,0,0,0
22,4335,1000,43,6611,0,0,0
23,4155,103,4,6706,0,0,0
24,4123,79,3,6703,0,0,0
25,4109,87,3,6699,0,0,0
26,4102,87,3,6706,0,0,0
27,4093,79,3,6699,0,0,0
28,4082,79,3,6706,0,0,0
29,4082,79,3,6706,0,0,0
30,4076,79,3,6695,0,0,0
31,4074,79,3,6703,0,0,0
32,4073,87,3,6703,0,0,0
33,4070,87,3,6699,0,0,0
34,4067,79,3,6703,0,0,0
35,4067,71,2,6706,0,0,0
36,4064,95,3,6699,0,0,0
37,4064,87,3,6699,0,0,0
38,4063,79,3,6699,0,0,0
39,4063,87,3,6703,0,0,0
40,4061,71,2,6699,0,0,0
41,4060,87,3,6699,0,0,0
42,4060,87,3,6703,0,0,0
43,4058,79,3,6699,0,0,0
44,4058,87,3,6695,0,0,0
45,4058,87,3,6695,0,0,0
46,4057,79,3,6710,0,0,0
47,4316,984,42,6611,0,0,0
48,4334,1007,43,6611,0,0,0
49,4334,1007,43,6611,0,0,0
50,4335,1000,43,6608,0,0,0
51,4336,1000,43,6600,0,0,0
52,4336,992,43,6608,0,0,0
53,4339,1015,44,6600,0,0,0
54,4339,1007,43,6611,0,0,0
55,4339,1007,43,6608,0,0,0
56,4339,1007,43,6608,0,0,0
57,4341,992,43,6619,0,0,0
58,4342,992,43,6608,0,0,0
59,4339,1000,43,6600,0,0,0
60,4341,1000,43,6611,0,0,0
61,4341,1000,43,6615,0,0,0
62,4342,1000,43,6611,0,0,0
63,4341,1007,43,6611,0,0,0
64,4341,1000,43,6615,0,0,0
65,4341,992,43,6604,0,0,0
66,4344,1007,43,6604,0,0,0
67,4341,976,42,6604,0,0,0
68,4345,1007,43,6615,0,0,0
69,4155,87,3,6695,0,0,0
70,4142,87,3,6699,0,0,0
71,4128,79,3,6699,0,0,0
72,4123,87,3,6699,0,0,0
73,4109,87,3,6695,0,0,0
74,4101,87,3,6695,0,0,0
75,4096,87,3,6706,0,0,0
76,4092,95,3,6706,0,0,0
77,4087,79,3,6706,0,0,0
78,4084,79,3,6699,0,0,0
79,4079,95,3,6703,0,0,0
80,4079,87,3,6699,0,0,0
81,4076,103,4,6695,0,0,0
82,4077,71,2,6703,0,0,0
83,4074,79,3,6703,0,0,0
84,4073,87,3,6699,0,0,0
85,4073,87,3,6706,0,0,0
86,4071,71,2,6703,0,0,0
87,4070,87,3,6699,0,0,0
88,4068,79,3,6706,0,0,0
89,4068,71,2,6699,0,0,0
90,4070,87,3,6699,0,0,0
91,4068,87,3,6699,0,0,0
92,4067,87,3,6695,0,0,0
93,4331,992,42,6608,0,0,0
94,4336,1000,43,6604,0,0,0
95,4339,1007,43,6608,0,0,0
96,4342,1000,43,6593,0,0,0
97,4344,1007,43,6611,0,0,0
98,4342,984,42,6597,0,0,0
99,4345,1007,43,6608,0,0,0
100,4345,1000,43,6611,0,0,0
101,4344,992,43,6615,0,0,0
102,4347,992,43,6615,0,0,0
103,4345,992,43,6600,0,0,0
104,4347,1000,43,6608,0,0,0
105,4345,984,42,6608,0,0,0
106,4347,992,43,6600,0,0,0
107,4347,992,43,6600,0,0,0
108,4347,1007,43,6615,0,0,0
109,4347,1007,43,6615,0,0,0
110,4347,984,42,6608,0,0,0
111,4350,1000,43,6604,0,0,0
112,4350,1023,44,6611,0,0,0
113,4351,1000,43,6604,0,0,0
114,4169,87,3,6699,0,0,0
115,4153,95,3,6703,0,0,0
116,4146,87,3,6692,0,0,0
117,4140,79,3,6695,0,0,0
118,4130,87,3,6703,0,0,0
119,4121,87,3,6706,0,0,0
120,4115,87,3,6703,0,0,0
